,Run,precision,recall,f1-score,support
Leve,1,0.8,0.7407407407407407,0.7692307692307693,27.0
Moderada,1,0.5,0.3333333333333333,0.4,3.0
Muito leve,1,0.696969696969697,0.696969696969697,0.696969696969697,33.0
Muito severo,1,0.0,0.0,0.0,1.0
Sadia,1,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
Severo,1,0.7142857142857143,0.9090909090909091,0.8,11.0
accuracy,1,0.7523809523809524,0.7523809523809524,0.7523809523809524,0.7523809523809524
macro avg,1,0.5862845040264396,0.5855780022446689,0.5809787662246678,105.0
weighted avg,1,0.744292297564187,0.7523809523809524,0.7462799495586381,105.0
Leve,2,0.7,0.7777777777777778,0.7368421052631579,27.0
Moderada,2,0.0,0.0,0.0,3.0
Muito leve,2,0.71875,0.696969696969697,0.7076923076923077,33.0
Muito severo,2,0.0,0.0,0.0,1.0
Sadia,2,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
Severo,2,0.6666666666666666,0.7272727272727273,0.6956521739130435,11.0
accuracy,2,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,2,0.48197804659498206,0.505892255892256,0.49330978633600836,105.0
weighted avg,2,0.7061488735279058,0.7333333333333333,0.7189611508897251,105.0
Leve,3,0.6756756756756757,0.9259259259259259,0.78125,27.0
Moderada,3,0.0,0.0,0.0,3.0
Muito leve,3,0.8636363636363636,0.5757575757575758,0.6909090909090909,33.0
Muito severo,3,0.0,0.0,0.0,1.0
Sadia,3,0.7714285714285715,0.9,0.8307692307692308,30.0
Severo,3,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
accuracy,3,0.7523809523809524,0.7523809523809524,0.7523809523809524,0.7523809523809524
macro avg,3,0.5063355563355563,0.5214927048260382,0.5050335081585082,105.0
weighted avg,3,0.7417723846295274,0.7523809523809524,0.7315888278388277,105.0
Leve,4,0.8333333333333334,0.7407407407407407,0.7843137254901961,27.0
Moderada,4,0.0,0.0,0.0,3.0
Muito leve,4,0.7428571428571429,0.7878787878787878,0.7647058823529411,33.0
Muito severo,4,0.0,0.0,0.0,1.0
Sadia,4,0.8125,0.8666666666666667,0.8387096774193549,30.0
Severo,4,0.6923076923076923,0.8181818181818182,0.75,11.0
accuracy,4,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715
macro avg,4,0.5134996947496947,0.5355780022446689,0.522954880877082,105.0
weighted avg,4,0.7524254317111461,0.7714285714285715,0.7602195716996475,105.0
Leve,5,0.7142857142857143,0.5555555555555556,0.625,27.0
Moderada,5,0.0,0.0,0.0,3.0
Muito leve,5,0.6190476190476191,0.7878787878787878,0.6933333333333334,33.0
Muito severo,5,0.0,0.0,0.0,1.0
Sadia,5,0.8275862068965517,0.8,0.8135593220338984,30.0
Severo,5,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
accuracy,5,0.6952380952380952,0.6952380952380952,0.6952380952380952,0.6952380952380952
macro avg,5,0.48136537791710204,0.47845117845117846,0.47652756377332645,105.0
weighted avg,5,0.6908749706779264,0.6952380952380952,0.6872550443906377,105.0
Leve,6,0.8,0.7407407407407407,0.7692307692307693,27.0
Moderada,6,0.0,0.0,0.0,3.0
Muito leve,6,0.7222222222222222,0.7878787878787878,0.7536231884057971,33.0
Muito severo,6,0.0,0.0,0.0,1.0
Sadia,6,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
Severo,6,0.6428571428571429,0.8181818181818182,0.72,11.0
accuracy,6,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
macro avg,6,0.504524721766101,0.5300224466891134,0.5150519307925351,105.0
weighted avg,6,0.7463507701931347,0.7619047619047619,0.7522145219064895,105.0
Leve,7,0.7,0.7777777777777778,0.7368421052631579,27.0
Moderada,7,0.0,0.0,0.0,3.0
Muito leve,7,0.71875,0.696969696969697,0.7076923076923077,33.0
Muito severo,7,0.0,0.0,0.0,1.0
Sadia,7,0.78125,0.8333333333333334,0.8064516129032258,30.0
Severo,7,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
accuracy,7,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,7,0.48787878787878797,0.505892255892256,0.49637645885523646,105.0
weighted avg,7,0.7052976190476191,0.7333333333333333,0.7184964893623638,105.0
Leve,8,0.8,0.5925925925925926,0.6808510638297872,27.0
Moderada,8,0.5,0.3333333333333333,0.4,3.0
Muito leve,8,0.6578947368421053,0.7575757575757576,0.704225352112676,33.0
Muito severo,8,0.0,0.0,0.0,1.0
Sadia,8,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Severo,8,0.6,0.8181818181818182,0.6923076923076923,11.0
accuracy,8,0.7238095238095238,0.7238095238095238,0.7238095238095238,0.7238095238095238
macro avg,8,0.5652046783625732,0.5558361391694725,0.5517862402639149,105.0
weighted avg,8,0.727719298245614,0.7238095238095238,0.7184552377000682,105.0
Leve,9,0.7333333333333333,0.8148148148148148,0.7719298245614035,27.0
Moderada,9,0.0,0.0,0.0,3.0
Muito leve,9,0.71875,0.696969696969697,0.7076923076923077,33.0
Muito severo,9,0.0,0.0,0.0,1.0
Sadia,9,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Severo,9,0.6666666666666666,0.7272727272727273,0.6956521739130435,11.0
accuracy,9,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429
macro avg,9,0.4920138888888889,0.5120650953984288,0.501434606583348,105.0
weighted avg,9,0.7224007936507936,0.7428571428571429,0.7318869079052146,105.0
Leve,10,0.6923076923076923,0.6666666666666666,0.6792452830188679,27.0
Moderada,10,0.0,0.0,0.0,3.0
Muito leve,10,0.6875,0.6666666666666666,0.676923076923077,33.0
Muito severo,10,0.0,0.0,0.0,1.0
Sadia,10,0.7647058823529411,0.8666666666666667,0.8125,30.0
